Data,Produkt,Ilość
2024-03-05,Produkt A,6
2024-03-16,Produkt C,10
2024-03-11,Produkt B,3
2024-03-16,Produkt A,3
2024-03-08,Produkt B,12
2024-02-27,Produkt B,2
2024-03-18,Produkt B,1
2024-03-01,Produkt C,4
2024-03-08,Produkt A,6
2024-02-26,Produkt C,20
2024-03-15,Produkt D,18
2024-02-25,Produkt D,10
2024-02-28,Produkt A,11
2024-03-16,Produkt B,3
2024-02-21,Produkt A,9
2024-03-01,Produkt C,14
2024-03-18,Produkt B,16
2024-03-14,Produkt A,18
2024-02-28,Produkt A,7
2024-02-22,Produkt A,9
2024-03-05,Produkt A,4
2024-03-17,Produkt D,8
2024-03-11,Produkt B,3
2024-03-01,Produkt A,2
2024-03-02,Produkt D,11
2024-03-18,Produkt C,18
2024-03-09,Produkt B,17
2024-03-13,Produkt B,7
2024-03-19,Produkt B,15
2024-02-19,Produkt C,20
2024-02-24,Produkt A,11
2024-03-18,Produkt B,4
2024-03-16,Produkt C,8
2024-02-25,Produkt A,5
2024-03-19,Produkt B,10
2024-02-21,Produkt A,17
2024-03-07,Produkt C,7
2024-03-11,Produkt B,18
2024-03-11,Produkt B,18
2024-03-02,Produkt A,4
2024-03-19,Produkt C,11
2024-03-14,Produkt C,5
2024-02-22,Produkt A,8
2024-02-23,Produkt A,12
2024-03-16,Produkt B,18
2024-03-18,Produkt A,13
2024-03-15,Produkt C,15
2024-03-04,Produkt A,4
2024-02-23,Produkt D,11
2024-02-28,Produkt B,11
2024-03-03,Produkt D,10
2024-03-12,Produkt B,2
2024-02-20,Produkt A,10
2024-03-08,Produkt B,4
2024-03-13,Produkt D,17
2024-03-15,Produkt C,11
2024-02-29,Produkt C,17
2024-02-27,Produkt C,19
2024-03-11,Produkt A,2
2024-02-20,Produkt C,18
2024-03-07,Produkt D,3
2024-03-09,Produkt B,20
2024-02-20,Produkt C,13
2024-02-19,Produkt D,1
2024-03-03,Produkt C,5
2024-03-09,Produkt B,19
2024-02-24,Produkt A,6
2024-03-11,Produkt A,10
2024-03-09,Produkt C,17
2024-02-20,Produkt B,4
2024-03-13,Produkt C,2
2024-03-06,Produkt D,11
2024-03-20,Produkt A,12
2024-02-28,Produkt A,4
2024-03-20,Produkt A,10
2024-03-07,Produkt A,5
2024-03-02,Produkt A,15
2024-02-23,Produkt A,13
2024-02-27,Produkt B,3
2024-03-16,Produkt B,7
2024-02-24,Produkt A,12
2024-02-23,Produkt C,4
2024-02-27,Produkt A,11
2024-03-09,Produkt B,3
2024-03-18,Produkt A,10
2024-02-28,Produkt B,5
2024-03-18,Produkt C,20
2024-02-28,Produkt D,9
2024-03-03,Produkt B,20
2024-03-15,Produkt A,4
2024-03-11,Produkt D,14
2024-03-04,Produkt A,5
2024-03-16,Produkt A,15
2024-03-16,Produkt D,2
2024-03-02,Produkt D,8
2024-02-26,Produkt C,14
2024-03-20,Produkt A,5
2024-03-05,Produkt D,10
2024-03-02,Produkt D,1
2024-03-14,Produkt A,6
