country,league,home_team,away_team,date,season,home_team_goal,away_team_goal
Belgium,Belgium Jupiler League,KRC Genk,Beerschot AC,2008-08-17 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,SV Zulte-Waregem,Sporting Lokeren,2008-08-16 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,KSV Cercle Brugge,RSC Anderlecht,2008-08-16 00:00:00,2008/2009,0,3
Belgium,Belgium Jupiler League,KAA Gent,RAEC Mons,2008-08-17 00:00:00,2008/2009,5,0
Belgium,Belgium Jupiler League,FCV Dender EH,Standard de Liège,2008-08-16 00:00:00,2008/2009,1,3
Belgium,Belgium Jupiler League,KV Mechelen,Club Brugge KV,2008-09-24 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KSV Roeselare,KV Kortrijk,2008-08-16 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,Tubize,Royal Excel Mouscron,2008-08-16 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,KVC Westerlo,Sporting Charleroi,2008-08-16 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Club Brugge KV,KV Kortrijk,2008-11-01 00:00:00,2008/2009,4,1
Belgium,Belgium Jupiler League,Standard de Liège,Sporting Charleroi,2008-10-31 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,SV Zulte-Waregem,KAA Gent,2008-11-02 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,Sporting Lokeren,RAEC Mons,2008-11-01 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,FCV Dender EH,KVC Westerlo,2008-11-01 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,KV Mechelen,KSV Roeselare,2008-11-01 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,Royal Excel Mouscron,KSV Cercle Brugge,2008-11-01 00:00:00,2008/2009,0,1
Belgium,Belgium Jupiler League,Tubize,KRC Genk,2008-11-01 00:00:00,2008/2009,1,3
Belgium,Belgium Jupiler League,Beerschot AC,RSC Anderlecht,2008-11-02 00:00:00,2008/2009,1,3
Belgium,Belgium Jupiler League,RSC Anderlecht,Sporting Lokeren,2008-11-08 00:00:00,2008/2009,2,3
Belgium,Belgium Jupiler League,RAEC Mons,Royal Excel Mouscron,2008-11-08 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,Sporting Charleroi,Club Brugge KV,2008-11-09 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,KSV Cercle Brugge,SV Zulte-Waregem,2008-11-07 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,KAA Gent,FCV Dender EH,2008-11-08 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KSV Roeselare,Tubize,2008-11-08 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,KV Kortrijk,KV Mechelen,2008-11-08 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,KVC Westerlo,KRC Genk,2008-11-08 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Beerschot AC,Standard de Liège,2008-11-09 00:00:00,2008/2009,1,3
Belgium,Belgium Jupiler League,Club Brugge KV,RSC Anderlecht,2008-11-16 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,KRC Genk,KSV Roeselare,2008-11-15 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,SV Zulte-Waregem,Beerschot AC,2008-11-15 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,Sporting Lokeren,Standard de Liège,2008-11-16 00:00:00,2008/2009,1,1
Belgium,Belgium Jupiler League,FCV Dender EH,KV Kortrijk,2008-11-15 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,KV Mechelen,RAEC Mons,2008-11-15 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,Royal Excel Mouscron,Sporting Charleroi,2008-11-15 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,Tubize,KSV Cercle Brugge,2008-11-15 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,KVC Westerlo,KAA Gent,2008-11-14 00:00:00,2008/2009,3,2
Belgium,Belgium Jupiler League,RSC Anderlecht,KVC Westerlo,2008-11-22 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,Standard de Liège,Royal Excel Mouscron,2008-11-22 00:00:00,2008/2009,3,1
Belgium,Belgium Jupiler League,RAEC Mons,Club Brugge KV,2008-11-22 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,Sporting Charleroi,Tubize,2008-11-22 00:00:00,2008/2009,3,2
Belgium,Belgium Jupiler League,KSV Cercle Brugge,KV Mechelen,2008-11-22 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,KAA Gent,KRC Genk,2008-11-23 00:00:00,2008/2009,2,3
Belgium,Belgium Jupiler League,KSV Roeselare,FCV Dender EH,2008-11-22 00:00:00,2008/2009,2,2
Belgium,Belgium Jupiler League,KV Kortrijk,SV Zulte-Waregem,2008-12-16 00:00:00,2008/2009,1,0
Belgium,Belgium Jupiler League,Beerschot AC,Sporting Lokeren,2008-11-22 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,Club Brugge KV,Beerschot AC,2008-11-30 00:00:00,2008/2009,3,0
Belgium,Belgium Jupiler League,KRC Genk,KSV Cercle Brugge,2008-11-29 00:00:00,2008/2009,3,2
Belgium,Belgium Jupiler League,SV Zulte-Waregem,Sporting Charleroi,2008-11-29 00:00:00,2008/2009,4,2
Belgium,Belgium Jupiler League,KAA Gent,KSV Roeselare,2008-11-29 00:00:00,2008/2009,4,0
Belgium,Belgium Jupiler League,FCV Dender EH,RSC Anderlecht,2008-11-28 00:00:00,2008/2009,0,2
Belgium,Belgium Jupiler League,KV Mechelen,Standard de Liège,2008-11-30 00:00:00,2008/2009,0,0
Belgium,Belgium Jupiler League,Royal Excel Mouscron,Sporting Lokeren,2008-11-29 00:00:00,2008/2009,2,0
Belgium,Belgium Jupiler League,Tubize,KV Kortrijk,2008-11-29 00:00:00,2008/2009,3,3
Belgium,Belgium Jupiler League,KVC Westerlo,RAEC Mons,2008-11-29 00:00:00,2008/2009,2,1
Belgium,Belgium Jupiler League,RSC Anderlecht,Tubize,2008-12-06 00:00:00,2008/2009,5,1
Belgium,Belgium Jupiler League,Standard de Liège,SV Zulte-Waregem,2008-12-06 00:00:00,2008/2009,1,2
Belgium,Belgium Jupiler League,RAEC Mons,FCV Dender EH,2008-12-06 00:00:00,2008/2009,5,2
Belgium,Belgium Jupiler League,Sporting Charleroi,KV Mechelen,2008-12-06 00:00:00,2008/2009,1,2
